Method,Mesh,CD-J2J,CD-J2B,CD-B2B,IoU,Precision,Recall,ED,VCE,Runtime_s
Ours,char1,2.5258,1.7178,1.5499,86.67,92.86,92.86,0,0.1669,4.68
Ours,char10,2.2571,1.6018,1.4333,100.0,100.0,100.0,0,0.1689,3.2
Ours,char11,2.9361,2.2512,2.0405,86.67,92.86,92.86,0,0.1407,2.51
Ours,char12,2.0229,1.2757,1.127,100.0,100.0,100.0,0,0.2086,2.69
Ours,char13,2.1638,1.5466,1.432,100.0,100.0,100.0,0,0.2485,3.14
Ours,char15,2.2101,1.2811,1.1206,100.0,100.0,100.0,0,0.3069,3.22
Ours,char16,2.2717,1.3558,1.1579,100.0,100.0,100.0,0,0.2632,2.81
Ours,char17,2.7451,2.109,2.0539,100.0,100.0,100.0,0,0.1908,2.03
Ours,char18,2.1797,1.3004,1.1397,100.0,100.0,100.0,0,0.2347,2.84
Ours,char19,1.9891,1.2086,1.0453,100.0,100.0,100.0,0,0.1923,1.98
Ours,char2,1.6863,0.825,0.7936,100.0,100.0,100.0,0,0.1471,3.14
Ours,char20,1.7174,0.9833,0.8609,100.0,100.0,100.0,0,0.2695,4.14
Ours,char21,2.2418,1.3469,1.1693,100.0,100.0,100.0,0,0.1918,6.98
Ours,char22,2.255,1.5185,1.3649,100.0,100.0,100.0,0,0.2414,6.71
Ours,char23,2.3417,1.5008,1.354,100.0,100.0,100.0,0,0.1904,6.12
Ours,char25,2.5366,1.4302,1.2106,100.0,100.0,100.0,0,0.14,4.17
Ours,char26,2.13,1.4029,1.2729,100.0,100.0,100.0,0,0.1608,5.46
Ours,char27,2.3692,1.5824,1.4541,100.0,100.0,100.0,0,0.2092,5.94
Ours,char28,2.7304,1.7975,1.4581,100.0,100.0,100.0,0,0.2046,6.09
Ours,char29,3.5619,2.6503,2.4134,64.71,78.57,78.57,0,0.3212,5.4
Ours,char3,2.0586,1.3299,1.1744,100.0,100.0,100.0,0,0.1658,6.55
Ours,char30,2.1571,1.2622,1.1164,100.0,100.0,100.0,0,0.2077,5.9
Ours,char31,2.6735,1.7639,1.4937,100.0,100.0,100.0,0,0.1538,6.04
Ours,char32,2.6899,1.8248,1.4902,75.0,85.71,85.71,0,0.2043,4.99
Ours,char33,3.4966,2.2745,1.9963,86.67,92.86,92.86,0,0.1846,5.53
Ours,char34,2.285,1.2601,1.1299,100.0,100.0,100.0,0,0.1426,3.23
Ours,char35,2.5432,1.5991,1.3923,100.0,100.0,100.0,0,0.2117,5.36
Ours,char36,2.6295,1.9366,1.5502,100.0,100.0,100.0,0,0.1149,7.85
Ours,char37,2.4594,1.7139,1.3576,100.0,100.0,100.0,0,0.1935,5.4
Ours,char38,2.1693,1.5032,1.2709,100.0,100.0,100.0,0,0.244,6.19
Ours,char4,2.3216,1.3498,1.0592,100.0,100.0,100.0,0,0.1761,5.98
Ours,char40,1.7544,1.0437,0.9269,100.0,100.0,100.0,0,0.2154,6.05
Ours,char42,1.9592,1.3337,1.1854,100.0,100.0,100.0,0,0.2939,6.98
Ours,char43,2.225,1.1727,0.974,100.0,100.0,100.0,0,0.1916,5.15
Ours,char44,1.9074,1.3035,1.1709,100.0,100.0,100.0,0,0.2145,6.49
Ours,char45,2.4041,1.0766,0.8526,86.67,92.86,92.86,0,0.2847,6.65
Ours,char46,2.0477,0.7984,0.7078,100.0,100.0,100.0,0,0.2503,5.89
Ours,char49,2.0272,1.2663,1.2668,100.0,100.0,100.0,0,0.4108,6.2
